unit_price,quantity,website_visits,membership_years,app_usage_score,discount_applied,age,loyalty_program,gender,ventas
57.450712295168486,8,47,2,2,0,40,Yes,Male,1
47.92603548243223,1,28,7,2,0,59,Yes,Female,0
59.715328071510385,8,23,7,1,1,41,Yes,Male,1
72.84544784612038,6,30,0,1,0,22,Yes,Female,1
46.48769937914996,4,24,2,0,1,49,No,Male,0
46.487945645762295,8,12,4,0,0,63,Yes,Female,0
73.68819223261087,3,46,1,0,1,34,Yes,Male,0
61.51152093729363,4,55,4,2,1,28,Yes,Male,0
42.95788421097572,6,25,9,0,0,44,Yes,Male,0
58.13840065378947,7,23,2,1,0,21,Yes,Female,1
43.04873460781307,4,18,8,0,0,40,Yes,Female,0
43.01405369644615,4,16,0,2,1,40,Yes,Male,0
53.629434073490515,7,23,3,0,0,51,Yes,Female,0
21.300796330133032,6,15,9,2,1,38,Yes,Male,0
24.126232512304508,8,94,5,2,0,39,No,Male,0
41.56568706138541,1,24,8,2,0,18,Yes,Male,0
34.80753319498364,7,61,2,2,0,49,No,Female,0
54.71370998892911,7,81,2,1,0,45,No,Male,1
36.37963886718184,7,43,4,2,1,35,No,Female,0
28.815444479970626,7,10,6,1,0,24,Yes,Female,0
71.98473153382331,8,78,4,1,1,55,No,Male,1
46.61335549270196,9,95,7,0,1,23,Yes,Female,1
51.012923070318855,9,29,4,0,0,31,Yes,Female,1
28.628777206798148,2,89,6,2,0,47,Yes,Female,0
41.834259132122256,7,16,5,0,0,61,No,Male,0
51.663838845647994,7,16,9,2,1,63,Yes,Male,0
32.73509633866546,4,59,1,0,0,31,No,Female,0
55.63547027518508,9,11,2,2,0,61,Yes,Female,1
40.99041965121793,8,56,3,0,0,58,No,Male,0
45.62459375310085,1,23,4,0,0,26,No,Male,0
40.97440081655905,2,40,8,1,1,48,No,Female,0
77.78417276763406,2,59,5,0,1,19,Yes,Male,0
49.79754162893099,8,70,0,0,0,35,No,Male,1
34.13433606566149,1,50,2,2,1,22,No,Female,0
62.338173681547836,4,23,6,1,1,43,Yes,Male,0
31.687345250434667,5,14,7,2,0,40,Yes,Female,0
53.132953925071334,9,84,6,0,1,29,No,Female,1
20.604948141803366,7,14,4,2,0,31,Yes,Female,0
30.077209266523543,8,73,9,1,1,30,No,Female,0
52.952918538036855,9,38,7,2,1,52,Yes,Male,1
61.07699869993115,7,84,8,0,1,64,Yes,Male,1
52.57052421784956,5,14,6,2,0,32,Yes,Male,0
48.265275764176394,5,45,8,0,1,52,Yes,Male,0
45.48344456616067,6,88,0,1,0,36,Yes,Female,0
27.822170144488588,5,28,8,1,0,32,No,Male,0
39.20233687407937,9,73,2,2,1,25,Yes,Female,1
43.09041843560319,3,31,5,1,1,40,No,Female,0
65.85683339328374,3,43,7,2,0,30,No,Female,0
55.15427434352692,7,65,2,0,1,40,Yes,Male,1
23.55439766955899,7,26,3,2,0,48,Yes,Female,0
54.86125954092192,6,85,6,0,0,47,Yes,Female,1
44.22376579375525,3,98,6,1,1,59,Yes,Male,0
39.84616999541062,7,65,3,0,0,19,Yes,Female,0
59.175144332613016,5,26,8,0,0,28,Yes,Male,0
65.46499283743927,7,83,2,0,1,42,No,Male,1
63.96920178674298,2,91,7,0,0,46,Yes,Female,0
37.41173715166042,6,27,7,0,0,39,Yes,Female,0
45.36181436223178,8,54,3,2,0,36,No,Male,0
54.96895147105346,1,87,6,0,1,26,No,Male,0
